"","lr_pair","ligand","receptor"
"1","SEMA3F_PLXNA3","SEMA3F","PLXNA3"
"2","SEMA3F_PLXNA1","SEMA3F","PLXNA1"
"3","SEMA3F_NRP1","SEMA3F","NRP1"
"4","SEMA3F_NRP2","SEMA3F","NRP2"
"5","CX3CL1_CX3CR1","CX3CL1","CX3CR1"
"6","HEBP1_ADRA2A","HEBP1","ADRA2A"
"7","HEBP1_MTNR1A","HEBP1","MTNR1A"
"8","HEBP1_FPR3","HEBP1","FPR3"
"9","HEBP1_GRM7","HEBP1","GRM7"
"10","DCN_EGFR","DCN","EGFR"
"11","DCN_MET","DCN","MET"
"12","DCN_ERBB4","DCN","ERBB4"
"13","GRN_TNFRSF1A","GRN","TNFRSF1A"
"14","GRN_EGFR","GRN","EGFR"
"15","GRN_SORT1","GRN","SORT1"
"16","GRN_TNFRSF1B","GRN","TNFRSF1B"
"17","GRN_CLEC4M","GRN","CLEC4M"
"18","UTS2_UTS2R","UTS2","UTS2R"
"19","ICAM3_ITGAL","ICAM3","ITGAL"
"20","ICAM3_ITGB2","ICAM3","ITGB2"
"21","ICAM3_CLEC4M","ICAM3","CLEC4M"
"22","ICAM3_CD209","ICAM3","CD209"
"23","ICAM3_ITGAD","ICAM3","ITGAD"
"24","CEACAM1_EGFR","CEACAM1","EGFR"
"25","CEACAM1_SELE","CEACAM1","SELE"
"26","CEACAM1_CD209","CEACAM1","CD209"
"27","PRLH_PRLHR","PRLH","PRLHR"
"28","FGF4_FGFR2","FGF4","FGFR2"
"29","FGF4_FGFR4","FGF4","FGFR4"
"30","FGF4_FGFR1","FGF4","FGFR1"
"31","FGF4_FGFR3","FGF4","FGFR3"
"32","FGF4_NRP1","FGF4","NRP1"
"33","ST6GAL1_EGFR","ST6GAL1","EGFR"
"34","NTN1_UNC5D","NTN1","UNC5D"
"35","NTN1_UNC5B","NTN1","UNC5B"
"36","NTN1_DCC","NTN1","DCC"
"37","NTN1_UNC5A","NTN1","UNC5A"
"38","NTN1_ADORA2B","NTN1","ADORA2B"
"39","NTN1_UNC5C","NTN1","UNC5C"
"40","NTN1_NEO1","NTN1","NEO1"
"41","SCT_PTH1R","SCT","PTH1R"
"42","SCT_ADCYAP1R1","SCT","ADCYAP1R1"
"43","SCT_RAMP2","SCT","RAMP2"
"44","SCT_VIPR1","SCT","VIPR1"
"45","SCT_RAMP3","SCT","RAMP3"
"46","SCT_GPR20","SCT","GPR20"
"47","SCT_ADRB2","SCT","ADRB2"
"48","SCT_VIPR2","SCT","VIPR2"
"49","SCT_ADRB3","SCT","ADRB3"
"50","SCT_TSHR","SCT","TSHR"
"51","SCT_GPR84","SCT","GPR84"
"52","FGF20_FGFR2","FGF20","FGFR2"
"53","FGF20_FGFR4","FGF20","FGFR4"
"54","FGF20_FGFR1","FGF20","FGFR1"
"55","FGF20_FGFR3","FGF20","FGFR3"
"56","CEACAM6_EGFR","CEACAM6","EGFR"
"57","THPO_MPL","THPO","MPL"
"58","EFNB1_EPHB6","EFNB1","EPHB6"
"59","EFNB1_EPHB4","EFNB1","EPHB4"
"60","EFNB1_ERBB2","EFNB1","ERBB2"
"61","EFNB1_EPHB1","EFNB1","EPHB1"
"62","EFNB1_EPHB3","EFNB1","EPHB3"
"63","EFNB1_EPHB2","EFNB1","EPHB2"
"64","EFNB1_EPHA4","EFNB1","EPHA4"
"65","EFNB1_EPHA6","EFNB1","EPHA6"
"66","DLL3_NOTCH1","DLL3","NOTCH1"
"67","DLL3_NOTCH4","DLL3","NOTCH4"
"68","DLL3_NOTCH2","DLL3","NOTCH2"
"69","DLL3_NOTCH3","DLL3","NOTCH3"
"70","SEMA4G_PLXNB2","SEMA4G","PLXNB2"
"71","VCL_ITGB5","VCL","ITGB5"
"72","VCL_ALK","VCL","ALK"
"73","EFNA2_EPHA7","EFNA2","EPHA7"
"74","EFNA2_EPHA10","EFNA2","EPHA10"
"75","EFNA2_EPHA3","EFNA2","EPHA3"
"76","EFNA2_EPHA1","EFNA2","EPHA1"
"77","EFNA2_EPHA5","EFNA2","EPHA5"
"78","EFNA2_EPHA4","EFNA2","EPHA4"
"79","EFNA2_EPHA6","EFNA2","EPHA6"
"80","EFNA2_EPHA2","EFNA2","EPHA2"
"81","FGF22_FGFR2","FGF22","FGFR2"
"82","FGF22_FGFR1","FGF22","FGFR1"
"83","MADCAM1_ITGA4","MADCAM1","ITGA4"
"84","MADCAM1_CD44","MADCAM1","CD44"
"85","MADCAM1_ITGB7","MADCAM1","ITGB7"
"86","MIF_CXCR4","MIF","CXCR4"
"87","MIF_CD44","MIF","CD44"
"88","MIF_EGFR","MIF","EGFR"
"89","MIF_CXCR2","MIF","CXCR2"
"90","OSM_LIFR","OSM","LIFR"
"91","OSM_IL6ST","OSM","IL6ST"
"92","OSM_OSMR","OSM","OSMR"
"93","TCN2_LRP2","TCN2","LRP2"
"94","TCN2_CNR1","TCN2","CNR1"
"95","LGALS1_ITGB1","LGALS1","ITGB1"
"96","LGALS1_PTPRC","LGALS1","PTPRC"
"97","NID2_COL13A1","NID2","COL13A1"
"98","GZMB_CHRM3","GZMB","CHRM3"
"99","GZMB_IGF2R","GZMB","IGF2R"
"100","RSPO4_LGR6","RSPO4","LGR6"
"101","RSPO4_LGR4","RSPO4","LGR4"
"102","RSPO4_LGR5","RSPO4","LGR5"
"103","OXT_AVPR2","OXT","AVPR2"
"104","OXT_AVPR1B","OXT","AVPR1B"
"105","OXT_AVPR1A","OXT","AVPR1A"
"106","OXT_OXTR","OXT","OXTR"
"107","F9_LRP1","F9","LRP1"
"108","PCSK1N_GPR171","PCSK1N","GPR171"
"109","TIMP1_FGFR2","TIMP1","FGFR2"
"110","TIMP1_CD63","TIMP1","CD63"
"111","MMP2_PECAM1","MMP2","PECAM1"
"112","MMP2_CCR2","MMP2","CCR2"
"113","MMP2_SDC2","MMP2","SDC2"
"114","MMP2_FGFR1","MMP2","FGFR1"
"115","CCL22_CCR4","CCL22","CCR4"
"116","CCL22_DPP4","CCL22","DPP4"
"117","CCL22_ACKR2","CCL22","ACKR2"
"118","CCL17_CCR4","CCL17","CCR4"
"119","CCL17_ACKR1","CCL17","ACKR1"
"120","CCL17_ACKR2","CCL17","ACKR2"
"121","CCL17_CCR8","CCL17","CCR8"
"122","TG_ASGR1","TG","ASGR1"
"123","TG_LRP2","TG","LRP2"
"124","TG_TPO","TG","TPO"
"125","SFRP1_FZD2","SFRP1","FZD2"
"126","SFRP1_FZD6","SFRP1","FZD6"
"127","PLAT_ITGAM","PLAT","ITGAM"
"128","PLAT_LRP1","PLAT","LRP1"
"129","PLAT_ITGB2","PLAT","ITGB2"
"130","DKK4_LRP6","DKK4","LRP6"
"131","DKK4_LRP5","DKK4","LRP5"
"132","LHB_PTH1R","LHB","PTH1R"
"133","LHB_ADCYAP1R1","LHB","ADCYAP1R1"
"134","LHB_RAMP2","LHB","RAMP2"
"135","LHB_VIPR1","LHB","VIPR1"
"136","LHB_RAMP3","LHB","RAMP3"
"137","LHB_GPR20","LHB","GPR20"
"138","LHB_ADRB2","LHB","ADRB2"
"139","LHB_ADRB3","LHB","ADRB3"
"140","LHB_TSHR","LHB","TSHR"
"141","LHB_LHCGR","LHB","LHCGR"
"142","LHB_GPR84","LHB","GPR84"
"143","AMH_ACVR1","AMH","ACVR1"
"144","AMH_EGFR","AMH","EGFR"
"145","AMH_AMHR2","AMH","AMHR2"
"146","RETN_GPR25","RETN","GPR25"
"147","EBI3_IL27RA","EBI3","IL27RA"
"148","EBI3_IL6ST","EBI3","IL6ST"
"149","TGFB1_ENG","TGFB1","ENG"
"150","TGFB1_EGFR","TGFB1","EGFR"
"151","TGFB1_SMAD3","TGFB1","SMAD3"
"152","TGFB1_TGFBR2","TGFB1","TGFBR2"
"153","TGFB1_ITGB3","TGFB1","ITGB3"
"154","TGFB1_TGFBR1","TGFB1","TGFBR1"
"155","TGFB1_ACVRL1","TGFB1","ACVRL1"
"156","TGFB1_ITGB6","TGFB1","ITGB6"
"157","TGFB1_ITGAV","TGFB1","ITGAV"
"158","TGFB1_ITGB1","TGFB1","ITGB1"
"159","TGFB1_CAV1","TGFB1","CAV1"
"160","TGFB1_SDC2","TGFB1","SDC2"
"161","TGFB1_ITGB8","TGFB1","ITGB8"
"162","TGFB1_CXCR4","TGFB1","CXCR4"
"163","TGFB1_ITGB5","TGFB1","ITGB5"
"164","ICAM5_ITGAL","ICAM5","ITGAL"
"165","ICAM5_ITGB2","ICAM5","ITGB2"
"166","CEACAM5_CD1D","CEACAM5","CD1D"
"167","COMP_ITGB1","COMP","ITGB1"
"168","COMP_ITGB3","COMP","ITGB3"
"169","COMP_CD36","COMP","CD36"
"170","HGF_CD44","HGF","CD44"
"171","HGF_SDC1","HGF","SDC1"
"172","HGF_ITGB1","HGF","ITGB1"
"173","HGF_MET","HGF","MET"
"174","HGF_SDC2","HGF","SDC2"
"175","HGF_NRP1","HGF","NRP1"
"176","HGF_ST14","HGF","ST14"
"177","LAMB1_ITGA7","LAMB1","ITGA7"
"178","LAMB1_ITGAV","LAMB1","ITGAV"
"179","LAMB1_ITGB1","LAMB1","ITGB1"
"180","LAMB1_ITGA6","LAMB1","ITGA6"
"181","LAMB1_ITGA1","LAMB1","ITGA1"
"182","LAMB1_ITGA2","LAMB1","ITGA2"
"183","WNT16_FZD6","WNT16","FZD6"
"184","NAMPT_ADORA2A","NAMPT","ADORA2A"
"185","PON2_HTR2A","PON2","HTR2A"
"186","NPVF_NPFFR1","NPVF","NPFFR1"
"187","NPVF_NPFFR2","NPVF","NPFFR2"
"188","PDAP1_PDGFRB","PDAP1","PDGFRB"
"189","SERPINE1_LRP2","SERPINE1","LRP2"
"190","SERPINE1_PLAUR","SERPINE1","PLAUR"
"191","SERPINE1_ITGAV","SERPINE1","ITGAV"
"192","SERPINE1_LRP1","SERPINE1","LRP1"
"193","SERPINE1_ITGB5","SERPINE1","ITGB5"
"194","C5_ADRA2A","C5","ADRA2A"
"195","C5_MTNR1A","C5","MTNR1A"
"196","C5_C5AR2","C5","C5AR2"
"197","C5_C5AR1","C5","C5AR1"
"198","C5_GRM7","C5","GRM7"
"199","TNFSF8_TNFRSF8","TNFSF8","TNFRSF8"
"200","RLN1_RXFP2","RLN1","RXFP2"
"201","RLN1_RXFP1","RLN1","RXFP1"
"202","CSF3_CSF1R","CSF3","CSF1R"
"203","CSF3_CSF3R","CSF3","CSF3R"
"204","WNT3_RYK","WNT3","RYK"
"205","WNT3_LRP6","WNT3","LRP6"
"206","WNT3_ROR2","WNT3","ROR2"
"207","WNT3_FZD1","WNT3","FZD1"
"208","WNT3_FZD7","WNT3","FZD7"
"209","WNT3_FZD8","WNT3","FZD8"
"210","WNT3_FZD5","WNT3","FZD5"
"211","CCL2_CCR4","CCL2","CCR4"
"212","CCL2_CCR1","CCL2","CCR1"
"213","CCL2_CCR2","CCL2","CCR2"
"214","CCL2_CCR5","CCL2","CCR5"
"215","CCL2_CCR10","CCL2","CCR10"
"216","CCL2_CCR3","CCL2","CCR3"
"217","CCL2_ACKR1","CCL2","ACKR1"
"218","CCL2_ACKR2","CCL2","ACKR2"
"219","CCL2_ACKR4","CCL2","ACKR4"
"220","CCL1_CCR8","CCL1","CCR8"
"221","CCL13_CXCR3","CCL13","CXCR3"
"222","CCL13_CCR3","CCL13","CCR3"
"223","CCL13_ACKR1","CCL13","ACKR1"
"224","CCL13_CCR1","CCL13","CCR1"
"225","CCL13_ACKR2","CCL13","ACKR2"
"226","CCL13_CCR2","CCL13","CCR2"
"227","CCL13_CCR5","CCL13","CCR5"
"228","CCL13_ACKR4","CCL13","ACKR4"
"229","CCL13_CCR9","CCL13","CCR9"
"230","COL1A1_ITGA5","COL1A1","ITGA5"
"231","COL1A1_CD93","COL1A1","CD93"
"232","COL1A1_FLT4","COL1A1","FLT4"
"233","COL1A1_CD36","COL1A1","CD36"
"234","COL1A1_ITGA1","COL1A1","ITGA1"
"235","COL1A1_DDR2","COL1A1","DDR2"
"236","COL1A1_CD44","COL1A1","CD44"
"237","COL1A1_ITGAV","COL1A1","ITGAV"
"238","COL1A1_ITGB1","COL1A1","ITGB1"
"239","COL1A1_ITGA11","COL1A1","ITGA11"
"240","COL1A1_TMPRSS6","COL1A1","TMPRSS6"
"241","COL1A1_ITGA2","COL1A1","ITGA2"
"242","COL1A1_DDR1","COL1A1","DDR1"
"243","EFNB3_EPHB6","EFNB3","EPHB6"
"244","EFNB3_EPHB4","EFNB3","EPHB4"
"245","EFNB3_RHBDL2","EFNB3","RHBDL2"
"246","EFNB3_EPHB1","EFNB3","EPHB1"
"247","EFNB3_EPHB3","EFNB3","EPHB3"
"248","EFNB3_EPHB2","EFNB3","EPHB2"
"249","EFNB3_EPHA4","EFNB3","EPHA4"
"250","VTN_ITGA5","VTN","ITGA5"
"251","VTN_ITGA8","VTN","ITGA8"
"252","VTN_CD47","VTN","CD47"
"253","VTN_ITGAV","VTN","ITGAV"
"254","VTN_ITGB1","VTN","ITGB1"
"255","VTN_KDR","VTN","KDR"
"256","VTN_PLAUR","VTN","PLAUR"
"257","VTN_ITGA2B","VTN","ITGA2B"
"258","VTN_ITGB3","VTN","ITGB3"
"259","VTN_ITGB6","VTN","ITGB6"
"260","VTN_TNFRSF11B","VTN","TNFRSF11B"
"261","VTN_PVR","VTN","PVR"
"262","VTN_ITGB5","VTN","ITGB5"
"263","IBSP_ITGB3","IBSP","ITGB3"
"264","IBSP_ITGAV","IBSP","ITGAV"
"265","CXCL6_ADRA2A","CXCL6","ADRA2A"
"266","CXCL6_ACKR1","CXCL6","ACKR1"
"267","CXCL6_CXCR2","CXCL6","CXCR2"
"268","CXCL6_GRM7","CXCL6","GRM7"
"269","CXCL6_CXCR1","CXCL6","CXCR1"
"270","CXCL6_MTNR1A","CXCL6","MTNR1A"
"271","IL2_IL2RA","IL2","IL2RA"
"272","IL2_IL2RG","IL2","IL2RG"
"273","IL2_CD53","IL2","CD53"
"274","APOC3_LRP2","APOC3","LRP2"
"275","APOC3_LDLR","APOC3","LDLR"
"276","APOC3_LRP1","APOC3","LRP1"
"277","APOC3_SDC2","APOC3","SDC2"
"278","APOC3_TLR2","APOC3","TLR2"
"279","KITLG_KIT","KITLG","KIT"
"280","CLEC2B_KLRF1","CLEC2B","KLRF1"
"281","SELPLG_ITGAM","SELPLG","ITGAM"
"282","SELPLG_ESAM","SELPLG","ESAM"
"283","SELPLG_SELL","SELPLG","SELL"
