"","lr_pair","ligand","receptor"
"1","Wnt3_Fzd6","Wnt3","Fzd6"
"2","Wnt3_Egfr","Wnt3","Egfr"
"3","Wnt3_Fzd2","Wnt3","Fzd2"
"4","Wnt3_Lrp5","Wnt3","Lrp5"
"5","Wnt3_Fzd1","Wnt3","Fzd1"
"6","Wnt3_Fzd3","Wnt3","Fzd3"
"7","Wnt3_Fzd8","Wnt3","Fzd8"
"8","Wnt3_Ror1","Wnt3","Ror1"
"9","Wnt3_Lrp6","Wnt3","Lrp6"
"10","Wnt3_Ror2","Wnt3","Ror2"
"11","Wnt3_Fzd5","Wnt3","Fzd5"
"12","Wnt3_Fzd7","Wnt3","Fzd7"
"13","Wnt9a_Egfr","Wnt9a","Egfr"
"14","Wnt9a_Fzd9","Wnt9a","Fzd9"
"15","Wnt9a_Fzd4","Wnt9a","Fzd4"
"16","Wnt9a_Fzd7","Wnt9a","Fzd7"
"17","Fgf23_Fgfr1","Fgf23","Fgfr1"
"18","Fgf23_Fgfr4","Fgf23","Fgfr4"
"19","Fgf23_Fgfr2","Fgf23","Fgfr2"
"20","Fgf23_Fgfr3","Fgf23","Fgfr3"
"21","Fgf23_Kl","Fgf23","Kl"
"22","Fgf6_Fgfr1","Fgf6","Fgfr1"
"23","Fgf6_Fgfr4","Fgf6","Fgfr4"
"24","Fgf6_Fgfr2","Fgf6","Fgfr2"
"25","Fgf6_Fgfr3","Fgf6","Fgfr3"
"26","Ccl2_Ccr4","Ccl2","Ccr4"
"27","Ccl2_Ccr2","Ccl2","Ccr2"
"28","Ccl2_Ackr1","Ccl2","Ackr1"
"29","Ccl2_Ackr2","Ccl2","Ackr2"
"30","Ccl12_Ccr4","Ccl12","Ccr4"
"31","Ccl12_Ccr2","Ccl12","Ccr2"
"32","Cdh1_Itgb7","Cdh1","Itgb7"
"33","Cdh1_Egfr","Cdh1","Egfr"
"34","Cdh1_Fgfr1","Cdh1","Fgfr1"
"35","Cdh1_Ptprj","Cdh1","Ptprj"
"36","Cdh1_Itgae","Cdh1","Itgae"
"37","Cdh1_Ptprm","Cdh1","Ptprm"
"38","Cdh1_Igf1r","Cdh1","Igf1r"
"39","Cdh1_Klrg1","Cdh1","Klrg1"
"40","Ccl11_Ccr2","Ccl11","Ccr2"
"41","Ccl11_Ccr5","Ccl11","Ccr5"
"42","Ccl11_Ackr2","Ccl11","Ackr2"
"43","Ccl11_Cxcr3","Ccl11","Cxcr3"
"44","Ccl11_Ccr3","Ccl11","Ccr3"
"45","Ccl11_Ackr4","Ccl11","Ackr4"
"46","Pdgfb_Lrp1","Pdgfb","Lrp1"
"47","Pdgfb_Pdgfra","Pdgfb","Pdgfra"
"48","Pdgfb_Pdgfrb","Pdgfb","Pdgfrb"
"49","Fasl_Fas","Fasl","Fas"
"50","Il4_Il4ra","Il4","Il4ra"
"51","Il4_Il2ra","Il4","Il2ra"
"52","Il4_Tlr2","Il4","Tlr2"
"53","Il4_Il2rg","Il4","Il2rg"
"54","Il4_Il13ra1","Il4","Il13ra1"
"55","Il4_Il13ra2","Il4","Il13ra2"
"56","Ccl3_Ccr1","Ccl3","Ccr1"
"57","Ccl3_Ccr5","Ccl3","Ccr5"
"58","Ccl3_Ackr2","Ccl3","Ackr2"
"59","Ccl3_Ccr3","Ccl3","Ccr3"
"60","Icam4_Itgav","Icam4","Itgav"
"61","Icam4_Itgam","Icam4","Itgam"
"62","S100a4_Egfr","S100a4","Egfr"
"63","S100a4_Erbb2","S100a4","Erbb2"
"64","Icam2_Itgal","Icam2","Itgal"
"65","Icam2_Itgam","Icam2","Itgam"
"66","Efnb2_Ephb2","Efnb2","Ephb2"
"67","Efnb2_Epha3","Efnb2","Epha3"
"68","Efnb2_Epha4","Efnb2","Epha4"
"69","Efnb2_Ephb3","Efnb2","Ephb3"
"70","Efnb2_Epha7","Efnb2","Epha7"
"71","Efnb2_Ephb4","Efnb2","Ephb4"
"72","Efnb2_Epha6","Efnb2","Epha6"
"73","Efnb2_Ephb6","Efnb2","Ephb6"
"74","Efnb2_Ephb1","Efnb2","Ephb1"
"75","Sost_Lrp6","Sost","Lrp6"
"76","Sost_Lrp5","Sost","Lrp5"
"77","Col1a1_Itgb1","Col1a1","Itgb1"
"78","Col1a1_Cd44","Col1a1","Cd44"
"79","Col1a1_Cd93","Col1a1","Cd93"
"80","Il16_Grin2c","Il16","Grin2c"
"81","Il16_Kcnj4","Il16","Kcnj4"
"82","Il16_Grin2d","Il16","Grin2d"
"83","Il16_Kcna3","Il16","Kcna3"
"84","Il16_Kcnd2","Il16","Kcnd2"
"85","Il16_Kcnj15","Il16","Kcnj15"
"86","Il16_Kcnd1","Il16","Kcnd1"
"87","Il16_Cd4","Il16","Cd4"
"88","Il16_Kcnj10","Il16","Kcnj10"
"89","Angptl4_Gpihbp1","Angptl4","Gpihbp1"
"90","Bmp8b_Acvr2b","Bmp8b","Acvr2b"
"91","Bmp8b_Bmpr1b","Bmp8b","Bmpr1b"
"92","Bmp8b_Acvr2a","Bmp8b","Acvr2a"
"93","Bmp8b_Tgfbr2","Bmp8b","Tgfbr2"
"94","Bmp8b_Bmpr2","Bmp8b","Bmpr2"
"95","Bmp8b_Bmpr1a","Bmp8b","Bmpr1a"
"96","Tgfb1_Tgfbr1","Tgfb1","Tgfbr1"
"97","Tgfb1_Itgb1","Tgfb1","Itgb1"
"98","Tgfb1_Eng","Tgfb1","Eng"
"99","Tgfb1_Sdc2","Tgfb1","Sdc2"
"100","Tgfb1_Tgfbr3","Tgfb1","Tgfbr3"
"101","Tgfb1_Tgfbr2","Tgfb1","Tgfbr2"
"102","Tgfb1_Itgb8","Tgfb1","Itgb8"
"103","Shh_Cdon","Shh","Cdon"
"104","Shh_Pvr","Shh","Pvr"
"105","Shh_Ptch1","Shh","Ptch1"
"106","Shh_Lrp2","Shh","Lrp2"
"107","Shh_Hhip","Shh","Hhip"
"108","Shh_Gpc1","Shh","Gpc1"
"109","Shh_Gpc6","Shh","Gpc6"
"110","Shh_Cav1","Shh","Cav1"
"111","Shh_Gas1","Shh","Gas1"
"112","Shh_Ptch2","Shh","Ptch2"
"113","Pspn_Gfra4","Pspn","Gfra4"
"114","Pspn_Ret","Pspn","Ret"
"115","Lamb1_Itga6","Lamb1","Itga6"
"116","Lamb1_Itgb1","Lamb1","Itgb1"
"117","Efna2_Epha10","Efna2","Epha10"
"118","Efna2_Epha3","Efna2","Epha3"
"119","Efna2_Epha4","Efna2","Epha4"
"120","Efna2_Epha7","Efna2","Epha7"
"121","Efna2_Epha6","Efna2","Epha6"
"122","Efna2_Epha8","Efna2","Epha8"
"123","Efna2_Epha1","Efna2","Epha1"
"124","Efna2_Epha2","Efna2","Epha2"
"125","Efna2_Epha5","Efna2","Epha5"
"126","Ebi3_Il6st","Ebi3","Il6st"
"127","Ebi3_Il27ra","Ebi3","Il27ra"
"128","Comp_Itgav","Comp","Itgav"
"129","Comp_Notch1","Comp","Notch1"
"130","Comp_Notch3","Comp","Notch3"
"131","Comp_Cd47","Comp","Cd47"
"132","Comp_Itga7","Comp","Itga7"
"133","Comp_Cd36","Comp","Cd36"
"134","Tgfb3_Acvr1","Tgfb3","Acvr1"
"135","Tgfb3_Tgfbr1","Tgfb3","Tgfbr1"
"136","Tgfb3_Eng","Tgfb3","Eng"
"137","Tgfb3_Tgfbr3","Tgfb3","Tgfbr3"
"138","Tgfb3_Tgfbr2","Tgfb3","Tgfbr2"
"139","Gdf15_Egfr","Gdf15","Egfr"
"140","Gdf15_Tgfbr1","Gdf15","Tgfbr1"
"141","Gdf15_Ret","Gdf15","Ret"
"142","Gdf15_Tgfbr2","Gdf15","Tgfbr2"
"143","Gdf15_Gfral","Gdf15","Gfral"
"144","Calr_Scarf1","Calr","Scarf1"
"145","Calr_Lrp1","Calr","Lrp1"
"146","Calr_Mpl","Calr","Mpl"
"147","Efnb3_Ephb2","Efnb3","Ephb2"
"148","Efnb3_Epha4","Efnb3","Epha4"
"149","Efnb3_Ephb3","Efnb3","Ephb3"
"150","Efnb3_Ephb6","Efnb3","Ephb6"
"151","Efnb3_Ephb1","Efnb3","Ephb1"
"152","Sst_Sstr3","Sst","Sstr3"
"153","Sst_Sstr2","Sst","Sstr2"
"154","Sst_Sstr4","Sst","Sstr4"
"155","Sst_Sstr5","Sst","Sstr5"
"156","Sst_Sstr1","Sst","Sstr1"
"157","Pgf_Flt1","Pgf","Flt1"
"158","Pgf_Nrp1","Pgf","Nrp1"
"159","Pgf_Nrp2","Pgf","Nrp2"
"160","Pgf_Egfr","Pgf","Egfr"
"161","Ccl24_Ccr2","Ccl24","Ccr2"
"162","Ccl24_Ackr2","Ccl24","Ackr2"
"163","Ccl24_Ccr3","Ccl24","Ccr3"
"164","Zp3_Egfr","Zp3","Egfr"
"165","Zp3_Zp3r","Zp3","Zp3r"
"166","Shbg_Gprc6a","Shbg","Gprc6a"
"167","App_Cd74","App","Cd74"
"168","App_Trpc6","App","Trpc6"
"169","App_Dcc","App","Dcc"
"170","App_Lrp8","App","Lrp8"
"171","App_Sorcs1","App","Sorcs1"
"172","App_Lrp4","App","Lrp4"
"173","App_Casr","App","Casr"
"174","App_Lrp2","App","Lrp2"
"175","App_Tspan12","App","Tspan12"
"176","App_Notch2","App","Notch2"
"177","App_Lrp10","App","Lrp10"
"178","App_Gpr3","App","Gpr3"
"179","App_Tspan15","App","Tspan15"
"180","App_Cd47","App","Cd47"
"181","App_Fpr2","App","Fpr2"
"182","App_Tnfrsf21","App","Tnfrsf21"
"183","App_Lrp1","App","Lrp1"
"184","App_Vldlr","App","Vldlr"
"185","App_Adra2a","App","Adra2a"
"186","App_Notch1","App","Notch1"
"187","App_Lrp6","App","Lrp6"
"188","App_Cav1","App","Cav1"
"189","App_Sorl1","App","Sorl1"
"190","App_Drd3","App","Drd3"
"191","Agrp_Mc5r","Agrp","Mc5r"
"192","Agrp_Mc3r","Agrp","Mc3r"
"193","Agrp_Sdc3","Agrp","Sdc3"
"194","Tnfsf14_Ltbr","Tnfsf14","Ltbr"
"195","Tnfsf14_Fas","Tnfsf14","Fas"
"196","Tnfsf14_Tnfrsf14","Tnfsf14","Tnfrsf14"
"197","Trh_Trhr","Trh","Trhr"
"198","Prl7a2_Prlr","Prl7a2","Prlr"
"199","Prl8a9_Prlr","Prl8a9","Prlr"
"200","Prl8a1_Prlr","Prl8a1","Prlr"
"201","Wnt10a_Fzd10","Wnt10a","Fzd10"
"202","Bmp7_Acvr1","Bmp7","Acvr1"
"203","Bmp7_Acvr2b","Bmp7","Acvr2b"
"204","Bmp7_Bmpr1b","Bmp7","Bmpr1b"
"205","Bmp7_Acvr2a","Bmp7","Acvr2a"
"206","Bmp7_Bmpr2","Bmp7","Bmpr2"
"207","Bmp7_Bmpr1a","Bmp7","Bmpr1a"
"208","Ccl8_Ccr1","Ccl8","Ccr1"
"209","Ccl8_Ccr8","Ccl8","Ccr8"
"210","Ccl8_Ccr2","Ccl8","Ccr2"
"211","Ccl8_Ccr5","Ccl8","Ccr5"
"212","Ccl8_Ccr3","Ccl8","Ccr3"
"213","Rarres2_Ccrl2","Rarres2","Ccrl2"
"214","Timp1_Cd63","Timp1","Cd63"
"215","Timp1_Itgb1","Timp1","Itgb1"
"216","Timp1_Lrp1","Timp1","Lrp1"
"217","Wnt3a_Fzd2","Wnt3a","Fzd2"
"218","Wnt3a_Fzd3","Wnt3a","Fzd3"
"219","Wnt3a_Fzd8","Wnt3a","Fzd8"
"220","Wnt3a_Ptk7","Wnt3a","Ptk7"
"221","Wnt3a_Fzd6","Wnt3a","Fzd6"
"222","Wnt3a_Lrp5","Wnt3a","Lrp5"
"223","Wnt3a_Apcdd1","Wnt3a","Apcdd1"
"224","Wnt3a_Fzd1","Wnt3a","Fzd1"
"225","Wnt3a_Lrp6","Wnt3a","Lrp6"
"226","Wnt3a_Fzd5","Wnt3a","Fzd5"
"227","Wnt3a_Fzd4","Wnt3a","Fzd4"
"228","Wnt3a_Fzd7","Wnt3a","Fzd7"
"229","Psen2_Notch2","Psen2","Notch2"
"230","Wnt2_Fzd2","Wnt2","Fzd2"
"231","Wnt2_Fzd9","Wnt2","Fzd9"
"232","Wnt2_Fzd3","Wnt2","Fzd3"
"233","Wnt2_Fzd8","Wnt2","Fzd8"
"234","Wnt2_Lrp5","Wnt2","Lrp5"
"235","Wnt2_Fzd1","Wnt2","Fzd1"
"236","Wnt2_Fzd5","Wnt2","Fzd5"
"237","Wnt2_Fzd4","Wnt2","Fzd4"
"238","Wnt2_Fzd7","Wnt2","Fzd7"
"239","Bmp5_Bmpr1b","Bmp5","Bmpr1b"
"240","Bmp5_Bmpr2","Bmp5","Bmpr2"
"241","Bmp5_Bmpr1a","Bmp5","Bmpr1a"
"242","Wnt8a_Fzd1","Wnt8a","Fzd1"
"243","Wnt8a_Ptk7","Wnt8a","Ptk7"
"244","Wnt8a_Lrp6","Wnt8a","Lrp6"
"245","Wnt8a_Fzd5","Wnt8a","Fzd5"
"246","Wnt8a_Fzd4","Wnt8a","Fzd4"
"247","Wnt8a_Fzd7","Wnt8a","Fzd7"
"248","Plg_Lrp2","Plg","Lrp2"
"249","Plg_Plgrkt","Plg","Plgrkt"
"250","Plg_Igf2r","Plg","Igf2r"
"251","Csf1_Csf1r","Csf1","Csf1r"
"252","Csf1_Flt4","Csf1","Flt4"
"253","Ceacam16_Tectb","Ceacam16","Tectb"
"254","Ceacam16_Tecta","Ceacam16","Tecta"
"255","Dll1_Notch4","Dll1","Notch4"
"256","Dll1_Notch2","Dll1","Notch2"
"257","Dll1_Notch1","Dll1","Notch1"
"258","Dll1_Notch3","Dll1","Notch3"
"259","Mmp13_Lrp1","Mmp13","Lrp1"
"260","Lama5_Itgb4","Lama5","Itgb4"
"261","Hspa8_Aqp2","Hspa8","Aqp2"
"262","Cd34_Sell","Cd34","Sell"
"263","Cd274_Pdcd1","Cd274","Pdcd1"
"264","Cd274_Cd80","Cd274","Cd80"
"265","Lnx2_Cd8a","Lnx2","Cd8a"
"266","Lnx2_Cxadr","Lnx2","Cxadr"
"267","Il10_Il10ra","Il10","Il10ra"
"268","Il10_Il10rb","Il10","Il10rb"
"269","Prl5a1_Prlr","Prl5a1","Prlr"
"270","Pyy_Npy5r","Pyy","Npy5r"
"271","Pyy_Npy1r","Pyy","Npy1r"
"272","Pyy_Dpp4","Pyy","Dpp4"
"273","Ppy_Npy2r","Ppy","Npy2r"
"274","Vtn_Itgb5","Vtn","Itgb5"
"275","Vtn_Itgav","Vtn","Itgav"
"276","Vtn_Itga8","Vtn","Itga8"
"277","Igfbp4_Lrp6","Igfbp4","Lrp6"
"278","Ada_Adora2b","Ada","Adora2b"
"279","Ada_Dpp4","Ada","Dpp4"
"280","Ada_Adora1","Ada","Adora1"
"281","Mmp9_Ephb2","Mmp9","Ephb2"
"282","Mmp9_Tlr9","Mmp9","Tlr9"
"283","Mmp9_Lrp1","Mmp9","Lrp1"
"284","Mmp9_Tlr4","Mmp9","Tlr4"
"285","Prl3c1_Prlr","Prl3c1","Prlr"
"286","Mfng_Notch1","Mfng","Notch1"
"287","Gdf9_Bmpr1b","Gdf9","Bmpr1b"
"288","Gdf9_Acvr2a","Gdf9","Acvr2a"
"289","Gdf9_Bmpr2","Gdf9","Bmpr2"
"290","Gdf9_Acvr1c","Gdf9","Acvr1c"
"291","Gdf9_Bmpr1a","Gdf9","Bmpr1a"
"292","Wnt9b_Lrp5","Wnt9b","Lrp5"
"293","Wnt9b_Lrp6","Wnt9b","Lrp6"
"294","Wnt9b_Fzd5","Wnt9b","Fzd5"
"295","Tnfsf13_Tnfrsf17","Tnfsf13","Tnfrsf17"
"296","Il3_Il2ra","Il3","Il2ra"
"297","Il3_Il4ra","Il3","Il4ra"
"298","Il3_Csf2rb2","Il3","Csf2rb2"
"299","Il3_Il3ra","Il3","Il3ra"
"300","Csf2_Csf2rb","Csf2","Csf2rb"
"301","Csf2_Csf2ra","Csf2","Csf2ra"
"302","Csf2_Sdc2","Csf2","Sdc2"
"303","Csf2_Csf1r","Csf2","Csf1r"
"304","Csf2_Csf3r","Csf2","Csf3r"
"305","Cxcl16_Cxcr6","Cxcl16","Cxcr6"
"306","Ccl6_Ccr1","Ccl6","Ccr1"
"307","Ccl4_Ccr1","Ccl4","Ccr1"
"308","Ccl4_Ccr8","Ccl4","Ccr8"
"309","Ccl4_Ccr5","Ccl4","Ccr5"
"310","Ccl4_Ackr2","Ccl4","Ackr2"
"311","Ccl4_Ccr3","Ccl4","Ccr3"
"312","Ccl9_Ccr1","Ccl9","Ccr1"
"313","Calm3_Grm7","Calm3","Grm7"
"314","Calm3_Scn10a","Calm3","Scn10a"
"315","Calm3_Scn4a","Calm3","Scn4a"
"316","Calm3_Trpc5","Calm3","Trpc5"
"317","Calm3_Kcnq3","Calm3","Kcnq3"
"318","Calm3_Adcy8","Calm3","Adcy8"
"319","Calm3_Mylk","Calm3","Mylk"
"320","Icam5_Itgal","Icam5","Itgal"
"321","Cd70_Cd27","Cd70","Cd27"
"322","Sema6a_Plxna4","Sema6a","Plxna4"
"323","Sema6a_Plxna2","Sema6a","Plxna2"
"324","Vip_Npr3","Vip","Npr3"
"325","Vip_Dpp4","Vip","Dpp4"
"326","Vip_Ramp2","Vip","Ramp2"
"327","Vip_Vipr1","Vip","Vipr1"
"328","Vip_Adcyap1r1","Vip","Adcyap1r1"
"329","Vip_Ramp1","Vip","Ramp1"
"330","Vip_Ramp3","Vip","Ramp3"
"331","Lama4_Itgb1","Lama4","Itgb1"
"332","Nts_Sort1","Nts","Sort1"
"333","Nts_Ntsr1","Nts","Ntsr1"
"334","Nts_Ntsr2","Nts","Ntsr2"
"335","Ccn2_Egfr","Ccn2","Egfr"
"336","Ccn2_Itga5","Ccn2","Itga5"
"337","Ccn2_Ntrk1","Ccn2","Ntrk1"
"338","Ccn2_Fgfr2","Ccn2","Fgfr2"
"339","Ccn2_Lrp6","Ccn2","Lrp6"
"340","Ccn2_Itgam","Ccn2","Itgam"
"341","Ccn2_Lrp1","Ccn2","Lrp1"
"342","Hsp90b1_Tlr9","Hsp90b1","Tlr9"
"343","Hsp90b1_Lrp1","Hsp90b1","Lrp1"
"344","Hsp90b1_Tlr2","Hsp90b1","Tlr2"
"345","Hsp90b1_Tlr4","Hsp90b1","Tlr4"
"346","Hsp90b1_Lrp6","Hsp90b1","Lrp6"
"347","Fgf18_Fgfr1","Fgf18","Fgfr1"
"348","Fgf18_Fgfr2","Fgf18","Fgfr2"
"349","Fgf18_Fgfr3","Fgf18","Fgfr3"
"350","Madcam1_Itga4","Madcam1","Itga4"
"351","Fgf22_Fgfr1","Fgf22","Fgfr1"
"352","Fgf22_Fgfr2","Fgf22","Fgfr2"
"353","Il13_Il13ra2","Il13","Il13ra2"
"354","Il13_Il13ra1","Il13","Il13ra1"
"355","Il13_Il4ra","Il13","Il4ra"
"356","Pomc_Mc2r","Pomc","Mc2r"
"357","Pomc_Mc4r","Pomc","Mc4r"
"358","Pomc_Oprm1","Pomc","Oprm1"
"359","Pomc_Mc3r","Pomc","Mc3r"
"360","Pomc_Mc1r","Pomc","Mc1r"
"361","Pomc_Mc5r","Pomc","Mc5r"
"362","Pomc_Oprd1","Pomc","Oprd1"
"363","Ccl7_Ccr1","Ccl7","Ccr1"
"364","Ccl7_Ccr2","Ccl7","Ccr2"
"365","Ccl7_Ccr5","Ccl7","Ccr5"
"366","Ccl7_Ccr10","Ccl7","Ccr10"
"367","Ccl7_Cxcr3","Ccl7","Cxcr3"
"368","Ccl7_Ccr3","Ccl7","Ccr3"
"369","Tac4_Tacr1","Tac4","Tacr1"
"370","Gng4_Kcnj6","Gng4","Kcnj6"
"371","Prl7d1_Prlr","Prl7d1","Prlr"
"372","Prl2c5_Prlr","Prl2c5","Prlr"
"373","Prl4a1_Prlr","Prl4a1","Prlr"
"374","Edn1_Ednrb","Edn1","Ednrb"
"375","Edn1_Kel","Edn1","Kel"
"376","Edn1_Ednra","Edn1","Ednra"
"377","Sema4d_Cd72","Sema4d","Cd72"
"378","Sema4d_Plxnb1","Sema4d","Plxnb1"
