src_gene,tgt_gene,score,rank,p_value
CCL21,CCR7,0.807182087393681,1,0.0
IGF1,IGF1R,0.5201803281828682,2,0.0
TGFB1,TGFBR1,0.160470602995219,3,0.0
TNFSF10,TNFRSF10B,0.1370133019494009,4,0.0
IGF1,EGFR,0.108939690868115,5,0.0
FN1,ITGB1,0.0904078055059499,6,0.0
GNAS,IFNGR2,0.0765598654419835,7,0.0
LAMA4,ITGB5,0.0507497495566168,8,0.0
CALM2,LAMP1,0.0504352852827166,9,0.0
HLA-B,IFNAR1,0.0502433915100756,10,0.0
ICAM2,ITGB2,0.0495146594622357,11,0.0
RELN,ITGB1,0.0387718237178394,12,0.0
REN,AQP1,0.0331127273227343,13,0.0
CD34,SELL,0.0302987416531665,14,0.0
GAS6,AXL,0.0291295652125725,15,0.0
CCL2,IL6ST,0.0257021033944382,16,0.0
TGFB1,TGFBR2,0.0253219031658704,17,0.0
CALM2,MET,0.0244518451638435,18,0.01
HSPA8,LY96,0.0205870064484908,19,0.0
IL7,GHR,0.0198656626604746,20,0.0
TNFSF10,TNFRSF10C,0.0185157512929775,21,0.0
ANGPT2,EPHA2,0.0178852674532281,22,0.0
HRAS,ADIPOR2,0.0173729599618019,23,0.01
THBS1,CD47,0.0161484848175544,24,0.0
CXCL1,TNFRSF14,0.0160451217347473,25,0.0
ANGPT2,EGFR,0.0156854997720954,26,0.0
BMP2,BMPR1A,0.0147975473672376,27,0.0
CCL14,LEPR,0.0136726873422775,28,0.0
CXCL2,CXCR4,0.0133886325469402,29,0.0
IL7,CSF1R,0.0130342065034244,30,0.0
CALM1,PDGFRA,0.012921450779149,31,0.0
PTPN11,CSF2RB,0.0116974632152747,32,0.0
HRAS,IFNGR2,0.0099005345980525,33,0.01
CCL2,IL2RB,0.0098630545649399,34,0.0
C3,PROCR,0.0097361678998814,35,0.0
EDN1,EDNRB,0.0096544194386036,36,0.0
PDGFA,EGFR,0.0091497950139824,37,0.0
CSF1,LTBR,0.008893657138533,38,0.0
CXCL1,CNTFR,0.0087820200994012,39,0.0
PDGFA,PDGFRB,0.0084014073974413,40,0.0
PRL,IL13RA1,0.008295910423623,41,0.0
HSP90AA1,ITGAV,0.0081500490493797,42,0.0
SERPINE1,TGFBR2,0.0080093522853121,43,0.0
CALM1,GRIN2D,0.0077899097709076,44,0.0
TNFSF10,TNFRSF1A,0.007541210377045,45,0.0
DCN,EGFR,0.007166471381527,46,0.0
CALM1,PDGFRB,0.0069271744180752,47,0.01
EDN1,EDNRA,0.0069094233046041,48,0.0
LTB,LTBR,0.0068783049956086,49,0.0
IL15,IL27RA,0.0067996548209413,50,0.0
LTB,EPOR,0.0067301316509175,51,0.0
TGFB2,IL20RA,0.0062177588524013,52,0.0
GDF10,IL17RE,0.006209375329064,53,0.0
EFNA5,FGFR1,0.0061502111028449,54,0.0
EDN1,AGTR1,0.0061213737714685,55,0.0
IL15,TNFRSF1B,0.0061207342792354,56,0.0
ICAM1,PTPRC,0.0058135576294526,57,0.0
HRAS,NOTCH3,0.0056107922020925,58,0.01
PRL,PRLR,0.0054430909979436,59,0.0
CALM1,AGTR1,0.0054193718668426,60,0.0
IGF1,FLT1,0.0052487489816674,61,0.0
LAMA4,ITGB1,0.0050674806856661,62,0.0
CXCL2,TRAF3,0.0050579552624362,63,0.0
NCAM1,SELP,0.0050291991955132,64,0.0
CXCL12,IL6R,0.0048893022545136,65,0.0
CCL14,ACVRL1,0.0045389628801335,66,0.0
CXCL1,CXCR4,0.0044124009215623,67,0.0
CXCL2,IL2RG,0.0043012967890458,68,0.0
CXCL13,TNFRSF1B,0.0042658128875673,69,0.0
IL6,CSF3R,0.0042083703150752,70,0.0
ICAM1,TGFBR1,0.0041388281967566,71,0.0
TNFSF12,TNFRSF12A,0.0040659669338359,72,0.0
GSTP1,GPC1,0.0038109133188822,73,0.0
IGF1,ITGB4,0.0038009407296761,74,0.0
COL4A1,ITGB5,0.0037488470012427,75,0.0
PDGFA,PDGFRA,0.0034502543293818,76,0.0
FYN,TYROBP,0.0033195751319821,77,0.0
ICAM3,CTLA4,0.0032813915980833,78,0.0
IL6,IL6ST,0.0031457120795309,79,0.0
ADM,RAMP2,0.0030645618697274,80,0.0
PDGFD,MET,0.0030377572595845,81,0.0
IL1B,IL1R1,0.0028140634018727,82,0.0
VCAM1,VSIR,0.0027592177321684,83,0.0
CLCF1,CXCR6,0.0026980505987509,84,0.0
FN1,IL6ST,0.0026342443711477,85,0.0
IL6,CD40,0.0025363513687936,86,0.0
IL15,IL7R,0.0025183999985226,87,0.0
SPP1,ITGA2B,0.0025049113177227,88,0.0
FYN,FGFR1,0.0023768751245517,89,0.0
COL4A5,ITGA10,0.0023438564133486,90,0.0
PDGFA,ADORA2B,0.0023267922162913,91,0.0
LIF,CSF2RA,0.0022468785468962,92,0.0
