src_gene,tgt_gene,ratio,name,gw_dist,num_ga,num_gb,ligand,receptor,weight
SELE,PIK3CD,8.809330119329071e-05,AGE-RAGE signaling pathway in diabetic complications,32778.741837751884,85,89,,,0.8934292896929068
MAPK9,PRKCE,0.002210603084231058,AGE-RAGE signaling pathway in diabetic complications,32778.741837751884,85,89,,,0.8934292896929068
PIK3CB,PLCB1,0.0020706411281394216,AGE-RAGE signaling pathway in diabetic complications,32778.741837751884,85,89,,,0.8934292896929068
PRKCZ,DIAPH1,0.01397630910566296,AGE-RAGE signaling pathway in diabetic complications,32778.741837751884,85,89,,,0.8934292896929068
CDC42,PRKCZ,0.06526738646837128,AGE-RAGE signaling pathway in diabetic complications,32778.741837751884,85,89,,,0.8934292896929068
EDN1,STAT5A,0.001567633856394478,AGE-RAGE signaling pathway in diabetic complications,32778.741837751884,85,89,,,0.8934292896929068
EDN1,PLCB2,0.005023333668466141,AGE-RAGE signaling pathway in diabetic complications,32778.741837751884,85,89,,,0.8934292896929068
NOX4,PIK3R2,0.0033773352057124453,AGE-RAGE signaling pathway in diabetic complications,32778.741837751884,85,89,,,0.8934292896929068
BAX,CASP3,0.0363246111660757,AGE-RAGE signaling pathway in diabetic complications,32778.741837751884,85,89,,,0.8934292896929068
MMP2,RELA,0.04112095129572704,AGE-RAGE signaling pathway in diabetic complications,32778.741837751884,85,89,,,0.8934292896929068
ICAM1,TGFBR1,0.004632519041522926,AGE-RAGE signaling pathway in diabetic complications,32778.741837751884,85,89,,,0.8934292896929068
TGFB2,CYBB,0.0072078814118580435,AGE-RAGE signaling pathway in diabetic complications,32778.741837751884,85,89,,,0.8934292896929068
JAK2,NOX4,0.001065560414462143,AGE-RAGE signaling pathway in diabetic complications,32778.741837751884,85,89,,,0.8934292896929068
MAPK1,STAT3,0.013314438513235704,AGE-RAGE signaling pathway in diabetic complications,32778.741837751884,85,89,,,0.8934292896929068
PLCB4,CDC42,0.0024781268835293822,AGE-RAGE signaling pathway in diabetic complications,32778.741837751884,85,89,,,0.8934292896929068
MAPK3,EGR1,0.018641880809749788,AGE-RAGE signaling pathway in diabetic complications,32778.741837751884,85,89,,,0.8934292896929068
AKT2,JAK2,0.005124794577499672,AGE-RAGE signaling pathway in diabetic complications,32778.741837751884,85,89,,,0.8934292896929068
TGFB1,TGFBR2,0.027140906393148354,AGE-RAGE signaling pathway in diabetic complications,32778.741837751884,85,89,,,0.8934292896929068
PIK3R2,PIK3CD,0.00014178282502286474,AGE-RAGE signaling pathway in diabetic complications,32778.741837751884,85,89,,,0.8934292896929068
SERPINE1,BAX,0.007068287411599351,AGE-RAGE signaling pathway in diabetic complications,32778.741837751884,85,89,,,0.8934292896929068
TGFBR1,TGFB1,0.0013339970091883944,AGE-RAGE signaling pathway in diabetic complications,32778.741837751884,85,89,,,0.8934292896929068
MAPK8,SMAD3,0.004552258151578763,AGE-RAGE signaling pathway in diabetic complications,32778.741837751884,85,89,,,0.8934292896929068
CCL2,MAPK13,0.029794933785647928,AGE-RAGE signaling pathway in diabetic complications,32778.741837751884,85,89,,,0.8934292896929068
COL1A1,CCND1,0.012568962986396726,AGE-RAGE signaling pathway in diabetic complications,32778.741837751884,85,89,,,0.8934292896929068
NFKB1,CCL2,0.009340748703509814,AGE-RAGE signaling pathway in diabetic complications,32778.741837751884,85,89,,,0.8934292896929068
MAPK10,VEGFD,0.000495871944399029,AGE-RAGE signaling pathway in diabetic complications,32778.741837751884,85,89,,,0.8934292896929068
CCND1,KRAS,0.03846846440715759,AGE-RAGE signaling pathway in diabetic complications,32778.741837751884,85,89,,,0.8934292896929068
MAPK14,IL1B,0.005514489699888254,AGE-RAGE signaling pathway in diabetic complications,32778.741837751884,85,89,,,0.8934292896929068
VEGFA,TGFB2,0.00012066423108205015,AGE-RAGE signaling pathway in diabetic complications,32778.741837751884,85,89,,,0.8934292896929068
VEGFA,VEGFC,0.0012822418295883877,AGE-RAGE signaling pathway in diabetic complications,32778.741837751884,85,89,,,0.8934292896929068
IL1A,MAPK11,5.138679738001442e-05,AGE-RAGE signaling pathway in diabetic complications,32778.741837751884,85,89,,,0.8934292896929068
STAT1,TGFB3,0.005826425674776753,AGE-RAGE signaling pathway in diabetic complications,32778.741837751884,85,89,,,0.8934292896929068
STAT1,AGTR1,0.005928034017469576,AGE-RAGE signaling pathway in diabetic complications,32778.741837751884,85,89,,,0.8934292896929068
STAT1,VCAM1,0.0005685089590140181,AGE-RAGE signaling pathway in diabetic complications,32778.741837751884,85,89,,,0.8934292896929068
AKT3,PIK3R1,0.0063357067142715265,AGE-RAGE signaling pathway in diabetic complications,32778.741837751884,85,89,,,0.8934292896929068
PIK3R3,VEGFB,0.0018462981758492693,AGE-RAGE signaling pathway in diabetic complications,32778.741837751884,85,89,,,0.8934292896929068
F3,NFATC1,0.0022485124734931087,AGE-RAGE signaling pathway in diabetic complications,32778.741837751884,85,89,,,0.8934292896929068
F3,FOXO1,0.0035316567224046415,AGE-RAGE signaling pathway in diabetic complications,32778.741837751884,85,89,,,0.8934292896929068
TGFB3,AGT,0.000602400488001526,AGE-RAGE signaling pathway in diabetic complications,32778.741837751884,85,89,,,0.8934292896929068
